ingestion_batch_id,analytics_build_run_id,month_start,payment_attempt_count,successful_payment_count,failed_payment_count,payment_failure_rate,successful_payment_revenue_gbp,renewal_attempt_count,successful_renewal_count,renewal_success_rate
1,1,2024-01-01,8,6,2,0.25000000000000000000,159.94,0,0,
1,1,2024-02-01,50,49,1,0.02000000000000000000,1819.51,3,3,1.00000000000000000000
1,1,2024-03-01,68,66,2,0.02941176470588235294,1847.34,23,23,1.00000000000000000000
1,1,2024-04-01,104,95,9,0.08653846153846153846,2019.05,42,38,0.90476190476190476190
1,1,2024-05-01,132,124,8,0.06060606060606060606,2718.76,61,59,0.96721311475409836066
1,1,2024-06-01,159,154,5,0.03144654088050314465,3342.46,79,77,0.97468354430379746835
1,1,2024-07-01,191,184,7,0.03664921465968586387,4142.16,100,95,0.95000000000000000000
1,1,2024-08-01,240,225,15,0.06250000000000000000,4721.75,136,130,0.95588235294117647059
1,1,2024-09-01,261,243,18,0.06896551724137931034,4761.57,161,149,0.92546583850931677019
1,1,2024-10-01,266,257,9,0.03383458646616541353,4929.43,172,166,0.96511627906976744186
1,1,2024-11-01,251,243,8,0.03187250996015936255,4409.57,166,162,0.97590361445783132530
1,1,2024-12-01,267,256,11,0.04119850187265917603,4213.44,175,170,0.97142857142857142857
1,1,2025-01-01,310,294,16,0.05161290322580645161,6429.06,195,181,0.92820512820512820513
1,1,2025-02-01,276,267,9,0.03260869565217391304,5225.33,182,174,0.95604395604395604396
1,1,2025-03-01,337,325,12,0.03560830860534124629,6272.75,214,205,0.95794392523364485981
1,1,2025-04-01,330,311,19,0.05757575757575757576,5928.89,211,198,0.93838862559241706161
1,1,2025-05-01,351,332,19,0.05413105413105413105,6004.68,228,215,0.94298245614035087719
1,1,2025-06-01,374,347,27,0.07219251336898395722,7152.53,241,223,0.92531120331950207469
1,1,2025-07-01,365,348,17,0.04657534246575342466,7076.52,234,224,0.95726495726495726496
1,1,2025-08-01,387,377,10,0.02583979328165374677,7952.23,246,239,0.97154471544715447154
1,1,2025-09-01,411,397,14,0.03406326034063260341,8192.03,266,258,0.96992481203007518797
1,1,2025-10-01,420,407,13,0.03095238095238095238,7431.93,288,281,0.97569444444444444444
1,1,2025-11-01,465,438,27,0.05806451612903225806,8067.62,302,287,0.95033112582781456954
1,1,2025-12-01,503,482,21,0.04174950298210735586,9827.18,337,320,0.94955489614243323442
1,1,2026-01-01,454,435,19,0.04185022026431718062,8207.65,308,294,0.95454545454545454545
1,1,2026-02-01,440,419,21,0.04772727272727272727,9159.81,283,272,0.96113074204946996466
1,1,2026-03-01,499,462,37,0.07414829659318637275,9587.38,315,296,0.93968253968253968254
1,1,2026-04-01,470,448,22,0.04680851063829787234,8099.52,315,303,0.96190476190476190476
1,1,2026-05-01,498,481,17,0.03413654618473895582,8407.19,335,322,0.96119402985074626866
1,1,2026-06-01,463,441,22,0.04751619870410367171,8455.59,352,333,0.94602272727272727273
